,StartDate,EndDate,Duration (in seconds),Finished,RecordedDate,ResponseId,Q1,Q2,gender,age_group,rgn_nm,bmclub,division,memberNo,SEG,weight
702,2025-10-16 17:43:50,2025-10-16 17:44:33,42,TRUE,2025-10-16 17:44:34,R_9e3vZYpqicF4vCE,10 ,"간편하게 필요한거 집에서 바로바로 받을수도있고
판매물품들도 다양해서 너무좋아요",FEMALE,30대,지방,구독,[BMART],2.01124E+11,FEMALE30대,
721,2025-10-16 17:45:40,2025-10-16 17:48:23,162,TRUE,2025-10-16 17:48:24,R_94Bi7LnVIr5lpM8,5 ,홈플 같은 곳 주문시 구매 할 땐 품절이 아니었는데 다음날 되니 판매 기간이 끝났다고 안팔거나 품절 되었다고 누락되었던 적이 많아서 기분이 별로여서요,FEMALE,30대,지방,미구독,[Store],1.9011E+11,FEMALE30대,
729,2025-10-16 17:49:41,2025-10-16 17:50:10,29,TRUE,2025-10-16 17:50:12,R_4uMFQ6hqZqPq30B,10 ,다양한 상품을 편리하고 빠르게 받아볼 수 있어서 좋음,FEMALE,30대,지방,미구독,[BMART],2.00217E+11,FEMALE30대,
734,2025-10-16 17:40:27,2025-10-16 17:52:05,698,TRUE,2025-10-16 17:52:07,R_9umuPauN8sDZThf,9 ,원하는 물건을 골라서 쉽겢구매할 수 있고 원하는 걸 요청사항에 적을 수 있어서좋았습니다. 그런데 선택한 제품의 같은유형의 다른 항목을 보고 비교할 수 없고는 것이 아쉬웠습니다 ,FEMALE,30대,지방,구독,[Store],2.10903E+11,FEMALE30대,
750,2025-10-16 17:54:52,2025-10-16 17:55:14,22,TRUE,2025-10-16 17:55:15,R_4ekKpbt1uWWEwl6,10 ,빠르고 필요한 제품이 다 있었어요,FEMALE,30대,지방,구독,"[BMART, Store]",1.80105E+11,FEMALE30대,
764,2025-10-16 17:58:53,2025-10-16 17:59:53,59,TRUE,2025-10-16 17:59:54,R_9V5i8bhTrOFCOuB,10 ,배달도 빠르고 집에서 편하게 장볼 수 있어서 좋음,FEMALE,30대,지방,구독,[BMART],1.90508E+11,FEMALE30대,
791,2025-10-16 18:06:11,2025-10-16 18:06:43,31,TRUE,2025-10-16 18:06:44,R_4hhGAIBSSdx2GZj,10 ,신속 정확해요,FEMALE,30대,지방,미구독,[Store],1.80427E+11,FEMALE30대,
799,2025-10-16 18:09:32,2025-10-16 18:10:20,47,TRUE,2025-10-16 18:10:21,R_9fSE4iva5rO7SsF,10 ,주문 후 1시간 이내로 물건을 받을 수 있고 매장에서는 멤버십에 가입되지 않아서 할인이 되지 않는 제품도 앱에서는 할인이 된다.,FEMALE,30대,지방,미구독,[Store],1.60627E+11,FEMALE30대,
803,2025-10-16 18:10:24,2025-10-16 18:11:01,36,TRUE,2025-10-16 18:11:02,R_9HNtNYxbwRabMxV,10 ,배달빠르고 쿠폰도 주고 배민클럽은 이제 필수아닌 필수입니다!! 앞으로도 좋은제품 많이많이 세일해주세요 ㅋㅋㅋ,FEMALE,30대,지방,구독,[BMART],2.01403E+11,FEMALE30대,
810,2025-10-16 18:11:49,2025-10-16 18:13:28,99,TRUE,2025-10-16 18:13:30,R_40zx4r7YpwL9RIJ,6 ,매장마다 판매하는게 틀리고 물건 잘못배달온 적도많고 요기요랑 판매하는게틀리다 ,FEMALE,30대,지방,구독,[Store],1.90424E+11,FEMALE30대,
820,2025-10-16 18:18:34,2025-10-16 18:19:12,37,TRUE,2025-10-16 18:19:13,R_4ekpGMXiwsJeqtr,9 ,"할인항목에 알맞게 
저녁메뉴도 정하기쉬움ㅋㅋ",FEMALE,30대,지방,구독,[Store],2.21124E+11,FEMALE30대,
846,2025-10-16 18:33:40,2025-10-16 18:39:18,338,TRUE,2025-10-16 18:39:19,R_9eoE8h0p3j138iZ,5 ,"주로편의점이용을많이했는데요청사항안들어주는
지점도있고품절되면전화를줘야되는데마음대로
부분취소하거나현금으로보내는경우가있어서
반만줬어요",FEMALE,30대,지방,미구독,[Store],2.01401E+11,FEMALE30대,
895,2025-10-16 19:41:11,2025-10-16 19:42:34,83,TRUE,2025-10-16 19:42:36,R_9CkocMas2OjUDEP,9 ,"좋아요! 빠르고 간편해서
다만 급한게 아닐 때는 가격측면에서 약간 고민됩니다",FEMALE,30대,지방,미구독,[Store],2.40829E+11,FEMALE30대,
900,2025-10-16 19:47:59,2025-10-16 19:48:31,32,TRUE,2025-10-16 19:48:32,R_4t4DAOM3loHDibu,5 ,주류구매안됨,FEMALE,30대,지방,구독,[Store],1.80519E+11,FEMALE30대,
902,2025-10-16 19:53:38,2025-10-16 19:53:58,19,TRUE,2025-10-16 19:53:59,R_9EYT5cqd1iDPCf0,7 ,적당히갠찬은거가뜸,FEMALE,30대,지방,미구독,[Store],1.71111E+11,FEMALE30대,
940,2025-10-16 21:57:47,2025-10-16 22:00:17,149,TRUE,2025-10-16 22:00:18,R_4mWXpyHTGxhqQUY,10 ,고기나 야채도 신선하고 빠르게 배달되는 점도 너무 좋고 포장도 꼼꼼하게 잘해서 배송해주셔서 좋은거 같아요! 여태까지는 모두 매우 만족하였습니다,FEMALE,30대,지방,구독,"[BMART, Store]",2.30421E+11,FEMALE30대,
958,2025-10-16 23:32:12,2025-10-16 23:33:42,89,TRUE,2025-10-16 23:33:43,R_91oRj4W0u5oaiSm,9 ,대전에 B마트가 안되는데 대신 홈플러스 등 대형마트 배달이 되어서 편리해요 할인 쿠폰도 줘서 자주 구매합니다,FEMALE,30대,지방,구독,[Store],1.80717E+11,FEMALE30대,
981,2025-10-17 09:09:19,2025-10-17 09:09:40,20,TRUE,2025-10-17 09:09:41,R_9I5bptR5gLsDjQa,7 ,간편해서,FEMALE,30대,지방,구독,[BMART],1.60811E+11,FEMALE30대,
1,2025-10-16 17:01:05,2025-10-16 17:01:24,19,TRUE,2025-10-16 17:01:27,R_9Dw0uPgWxmcO32o,5 ,배달이 생각보다 늦어요,FEMALE,40대,수도권,미구독,"[BMART, Store]",2.00523E+11,FEMALE40대,
11,2025-10-16 17:01:50,2025-10-16 17:02:20,29,TRUE,2025-10-16 17:02:21,R_4qW1RkPNlTi6aot,10 ,필요한 물건을 시간을 지정해서 배송받을수 있어서 좋습니다.,FEMALE,40대,수도권,구독,[BMART],1.90809E+11,FEMALE40대,
13,2025-10-16 17:01:58,2025-10-16 17:02:23,24,TRUE,2025-10-16 17:02:24,R_4Y3wckvEJNypjfH,10 ,"쿠폰,할인상품 배민상품",FEMALE,40대,수도권,구독,[BMART],2.10421E+11,FEMALE40대,
17,2025-10-16 17:01:45,2025-10-16 17:02:33,48,TRUE,2025-10-16 17:02:34,R_9n1Nu2HJyF4iScO,5 ,"편리하고 좋은데

없는 상품듀 아직 많고
다른 마트보다 비싼것들도 아직 많은 거 같아요",FEMALE,40대,수도권,구독,[BMART],1.50811E+11,FEMALE40대,
23,2025-10-16 17:02:27,2025-10-16 17:02:49,21,TRUE,2025-10-16 17:02:50,R_4qa5TlwW9XIXs7s,9 ,저렴하고 편해요,FEMALE,40대,수도권,미구독,[BMART],1.70831E+11,FEMALE40대,
31,2025-10-16 17:02:35,2025-10-16 17:03:01,25,TRUE,2025-10-16 17:03:03,R_464FQARe1FgP4yx,6 ,가격이 비쌈,FEMALE,40대,수도권,구독,[BMART],1.90415E+11,FEMALE40대,
36,2025-10-16 17:01:28,2025-10-16 17:03:12,103,TRUE,2025-10-16 17:03:13,R_4n0mBq2pugjk6K0,10 ,"배달이 엄청 빨라요
",FEMALE,40대,수도권,구독,[BMART],2.10423E+11,FEMALE40대,
42,2025-10-16 17:02:22,2025-10-16 17:03:40,78,TRUE,2025-10-16 17:03:41,R_4K0ZYVrgw77QEFR,10 ,시간내서 장보러 가지 않아도 필요한 물건을 손쉽게 구매할수있고 새벽배달도 가능하며 물건도 다양하며 아주 유용하게 사용하고 있음,FEMALE,40대,수도권,미구독,[BMART],1.81023E+11,FEMALE40대,
44,2025-10-16 17:02:29,2025-10-16 17:03:44,75,TRUE,2025-10-16 17:03:46,R_4kNAKdyQ1Rkwei6,8 ,"급할 때 이용하기 좋아요
내일 아침 예약도 가능하구요
찾는 물품이 없기도 해서 8점이요",FEMALE,40대,수도권,구독,[BMART],1.60207E+11,FEMALE40대,
45,2025-10-16 17:02:57,2025-10-16 17:03:46,48,TRUE,2025-10-16 17:03:47,R_91d40AlGDf1ifX7,2 ,"무료배송 최소 비용이 높고, 사려고하면 자꾸 품절되서 짜증나여",FEMALE,40대,수도권,구독,[BMART],2.50828E+11,FEMALE40대,
46,2025-10-16 17:02:51,2025-10-16 17:03:46,55,TRUE,2025-10-16 17:03:47,R_9GuEhPefBrX8xhw,10 ,할인쿠폰에 필요한거편리하게 빠르게받을수있으니까요,FEMALE,40대,수도권,구독,[BMART],1.7112E+11,FEMALE40대,
48,2025-10-16 17:03:15,2025-10-16 17:03:47,31,TRUE,2025-10-16 17:03:48,R_4LjtFUjy1qzMG5S,9 ,배달 시간 선택이 좀 자유롭다.,FEMALE,40대,수도권,구독,"[BMART, Store]",1.41122E+11,FEMALE40대,
50,2025-10-16 17:03:14,2025-10-16 17:03:54,40,TRUE,2025-10-16 17:03:55,R_4b1xuCpJYJfreGR,8 ,편하지만 가끔 신선도가 떨어지거나 가격이 비쌀때가 있다,FEMALE,40대,수도권,구독,[BMART],1.80118E+11,FEMALE40대,
53,2025-10-16 17:02:48,2025-10-16 17:04:07,78,TRUE,2025-10-16 17:04:08,R_40xb3AZe6ZT98KB,7 ,"보통 퇴근후 저녁시간에 장을보곤하는데 
수량이 부족할 때가 많더라구요 
그거 빼고는 만족스럽습니다♥️",FEMALE,40대,수도권,구독,[BMART],1.51002E+11,FEMALE40대,
54,2025-10-16 17:03:05,2025-10-16 17:04:08,63,TRUE,2025-10-16 17:04:10,R_9maVcVyMPRjK0U1,5 ,바로 오는게 장점이예요,FEMALE,40대,수도권,미구독,[Store],1.80312E+11,FEMALE40대,
57,2025-10-16 17:01:41,2025-10-16 17:04:28,166,TRUE,2025-10-16 17:04:29,R_42LkyWB5NHtEhz5,8 ,급할 때 바로바로 장을 보고 빠르게 배달로 받아서 좋아요,FEMALE,40대,수도권,미구독,[Store],1.70824E+11,FEMALE40대,
63,2025-10-16 17:03:18,2025-10-16 17:04:42,84,TRUE,2025-10-16 17:04:44,R_4xjB6TWdt5R0EmJ,10 ,"세일을 자주하고
주문하면 바로 오고
주문 후 담는 과정에서 좋지 않은 상태의 물건들이 제외 되는걸 알고 있고
배송과정에서 그릇 파손을 겪었는데
바로 해결 됨",FEMALE,40대,수도권,구독,[BMART],1.90419E+11,FEMALE40대,
65,2025-10-16 17:01:26,2025-10-16 17:04:56,210,TRUE,2025-10-16 17:04:58,R_9psYZObL2H5vxEZ,10 ,집앞슈퍼가는것처럼 집에서 빠른배송을 받을 수있음,FEMALE,40대,수도권,미구독,[BMART],2.01015E+11,FEMALE40대,
67,2025-10-16 17:04:55,2025-10-16 17:05:12,17,TRUE,2025-10-16 17:05:13,R_9MAQNJZSuxIkfCm,9 ,편하게 장 볼 수 있어서 좋다,FEMALE,40대,수도권,미구독,[BMART],1.8043E+11,FEMALE40대,
74,2025-10-16 17:05:00,2025-10-16 17:05:28,28,TRUE,2025-10-16 17:05:29,R_9jIWszzLg0TOrDH,8 ,편리성,FEMALE,40대,수도권,미구독,[BMART],2.50711E+11,FEMALE40대,
78,2025-10-16 17:05:28,2025-10-16 17:05:44,16,TRUE,2025-10-16 17:05:45,R_4CyA6D82fj2xHqq,8 ,신제품이 많고 빨리 온다 ,FEMALE,40대,수도권,구독,[BMART],2.01406E+11,FEMALE40대,
81,2025-10-16 17:05:05,2025-10-16 17:05:49,43,TRUE,2025-10-16 17:05:50,R_4s4hhren72oxliE,10 ,"배민 없으면 생활이 안될정도임
쿠팡보다 싸고 빠름",FEMALE,40대,수도권,구독,"[BMART, Store]",2.20308E+11,FEMALE40대,
86,2025-10-16 17:05:26,2025-10-16 17:05:54,28,TRUE,2025-10-16 17:05:56,R_4rjBsWmkufwqvu1,9 ,편하다,FEMALE,40대,수도권,구독,[BMART],1.80621E+11,FEMALE40대,
88,2025-10-16 17:04:20,2025-10-16 17:05:59,99,TRUE,2025-10-16 17:06:00,R_9YFF9AinfKkBjuw,9 ,"편의점이나 마트에서  바로 구매할 수 없는 프리미엄 제품군(예: 널담,쿨룹 등) 을 직배달로 받을 수 있어 매우 좋다.",FEMALE,40대,수도권,구독,"[BMART, Store]",1.70914E+11,FEMALE40대,
99,2025-10-16 17:01:10,2025-10-16 17:06:23,313,TRUE,2025-10-16 17:06:24,R_4CJIPZhtOfW2F30,8 ,"상품이 다양하며, 새로운 상품을 접하는 기회가 됩니다. 
할인쿠폰 및 할인행사로 저렴하게 구입 할 수 있습니다. 
주문 후 빠른 시간안에 배달 받을 수 있어 편리합니다. 
허나 배송 시간이 점점 늘어나고 할인하지 않는 상품은 가격이 비싼 편입니다.",FEMALE,40대,수도권,구독,"[BMART, Store]",2.00211E+11,FEMALE40대,
101,2025-10-16 17:05:44,2025-10-16 17:06:30,46,TRUE,2025-10-16 17:06:31,R_4OlC4khrGu4JIrM,10 ,필요할때 빠르게 받아볼수 있고 pb상품도 좋아요,FEMALE,40대,수도권,구독,[BMART],1.70402E+11,FEMALE40대,
108,2025-10-16 17:06:33,2025-10-16 17:06:54,21,TRUE,2025-10-16 17:06:55,R_98GTorgLLaZyQIo,5 ,가격이 비싸다,FEMALE,40대,수도권,미구독,[BMART],2.00201E+11,FEMALE40대,
115,2025-10-16 17:04:49,2025-10-16 17:07:05,135,TRUE,2025-10-16 17:07:06,R_4qdKTKQLSxkoMAK,8 ,"비가 오거나 피곤해서 나가기 싫을 때 아주 유용하다고 생각합니다.
한 번 먹을 양만큼도 살 수 있는 것도 장점입니다. ",FEMALE,40대,수도권,구독,[BMART],1.91105E+11,FEMALE40대,
130,2025-10-16 17:06:22,2025-10-16 17:08:00,98,TRUE,2025-10-16 17:08:02,R_4rTiR4PhwmFMZ3R,8 ,"근처 마트나 쿠팡에서 주문하는것보다 저렴한 제품도 있고, 신상과자도 다른곳 보다 빨리 들어와서 넘 좋음 그리고 자체 제작 상품고 가격대비 괜찮은 제품도 많고 거의 없는게 없어서 넘 추천!",FEMALE,40대,수도권,구독,[BMART],1.80208E+11,FEMALE40대,
131,2025-10-16 17:07:51,2025-10-16 17:08:07,16,TRUE,2025-10-16 17:08:09,R_4hnp0W7GWB3a6Zu,8 ,편리함. 신속함,FEMALE,40대,수도권,구독,"[BMART, Store]",1.80207E+11,FEMALE40대,
136,2025-10-16 17:07:50,2025-10-16 17:08:13,23,TRUE,2025-10-16 17:08:14,R_42NlUBT0syltcpH,8 ,배송이 빨라서요,FEMALE,40대,수도권,구독,[BMART],2.01107E+11,FEMALE40대,
141,2025-10-16 17:07:54,2025-10-16 17:08:22,28,TRUE,2025-10-16 17:08:23,R_4BlKTD7IJLPBUMK,9 ,급할 때 빠른 시간에 바로 배송을 받을 수 있다,FEMALE,40대,수도권,구독,"[BMART, Store]",1.41011E+11,FEMALE40대,
146,2025-10-16 17:07:44,2025-10-16 17:08:27,43,TRUE,2025-10-16 17:08:28,R_4UVrxxUxMJHjz2e,5 ,"가격이 비싸며, 오배송이슈 유료회원 가입",FEMALE,40대,수도권,구독,[BMART],2.00906E+11,FEMALE40대,
150,2025-10-16 17:08:12,2025-10-16 17:08:33,21,TRUE,2025-10-16 17:08:34,R_41oMaK0hBngwmZx,8 ,할인할때 자주 구매해요. ,FEMALE,40대,수도권,구독,[Store],1.60504E+11,FEMALE40대,
152,2025-10-16 17:08:11,2025-10-16 17:08:36,25,TRUE,2025-10-16 17:08:37,R_9zItM8kZcPQV1yt,8 ,빠르고 편하다,FEMALE,40대,수도권,구독,[BMART],2.00303E+11,FEMALE40대,
156,2025-10-16 17:08:24,2025-10-16 17:08:46,21,TRUE,2025-10-16 17:08:47,R_42iIoQPsy3QYYWl,3 ,무료배송 금액이 높음,FEMALE,40대,수도권,구독,"[BMART, Store]",2.20104E+11,FEMALE40대,
160,2025-10-16 17:08:20,2025-10-16 17:08:49,28,TRUE,2025-10-16 17:08:50,R_4pfNaIvk2rG4tqX,10 ,내가 원하는 물건이 있고 배송이 빠름,FEMALE,40대,수도권,구독,[BMART],2.01405E+11,FEMALE40대,
172,2025-10-16 17:08:01,2025-10-16 17:09:07,66,TRUE,2025-10-16 17:09:09,R_4D6hGVcA8yJccv3,7 ,급하게 필요한물건이있을때 유용함,FEMALE,40대,수도권,구독,"[BMART, Store]",1.50905E+11,FEMALE40대,
175,2025-10-16 17:08:46,2025-10-16 17:09:14,27,TRUE,2025-10-16 17:09:16,R_4pyuvTTm7ZPLgHf,10 ,빠른배달이 진짜 좋음~👍👍👍,FEMALE,40대,수도권,구독,"[BMART, Store]",1.70824E+11,FEMALE40대,
176,2025-10-16 17:08:32,2025-10-16 17:09:17,44,TRUE,2025-10-16 17:09:18,R_4iHUEumR1BnNuZY,10 ,항상좋아요좋은물건  싸고안전하게배송되어서요,FEMALE,40대,수도권,구독,[BMART],1.71221E+11,FEMALE40대,
183,2025-10-16 17:08:51,2025-10-16 17:09:26,35,TRUE,2025-10-16 17:09:27,R_9ME7acz4bcweEqg,10 ,행사도 자주하고 쿠폰도 수시로 주셔셔 좋은거같아요,FEMALE,40대,수도권,구독,[BMART],1.80613E+11,FEMALE40대,
186,2025-10-16 17:08:54,2025-10-16 17:09:28,33,TRUE,2025-10-16 17:09:30,R_9LSESLl7xUXaqPb,8 ,할인하믄 살만했어요,FEMALE,40대,수도권,미구독,[BMART],2.10411E+11,FEMALE40대,
187,2025-10-16 17:08:48,2025-10-16 17:09:29,40,TRUE,2025-10-16 17:09:30,R_41zB9qG6rXfezaS,7 ,배달이 빠른게 장점이지만 물건 종류가 적은편이다,FEMALE,40대,수도권,구독,"[BMART, Store]",2.01405E+11,FEMALE40대,
190,2025-10-16 17:08:42,2025-10-16 17:09:30,47,TRUE,2025-10-16 17:09:31,R_4QEyvUwdiqPiK6U,10 ,"급하게 필요할 때 빠르게 배달 받을 수 있어서 좋고
제품도 다양해서 만족스러워요",FEMALE,40대,수도권,구독,[BMART],2.00309E+11,FEMALE40대,
196,2025-10-16 17:08:23,2025-10-16 17:09:43,79,TRUE,2025-10-16 17:09:44,R_4UfE8HFyDuymSKB,9 ,바로쓰는물건을 바로 배달되고 할인하여 물건을 살수있어 좋아요,FEMALE,40대,수도권,구독,[BMART],2.0031E+11,FEMALE40대,
200,2025-10-16 17:08:52,2025-10-16 17:09:49,56,TRUE,2025-10-16 17:09:50,R_9zVfL4bgdm8kSQK,10 ,급하게 필요한  물건  있을때 빨리: 받을  수 있어서 좋아요,FEMALE,40대,수도권,구독,"[BMART, Store]",1.70919E+11,FEMALE40대,
219,2025-10-16 17:09:58,2025-10-16 17:10:25,27,TRUE,2025-10-16 17:10:26,R_4CleI3y4FkcXY5n,8 ,바로 받을 수 있어서,FEMALE,40대,수도권,미구독,[BMART],1.80506E+11,FEMALE40대,
220,2025-10-16 17:06:36,2025-10-16 17:10:26,229,TRUE,2025-10-16 17:10:27,R_4iJuI5MHIP5dFfQ,8 ,매우 편리하고 모든음식을 편하게 주문해서 먹을수있고앉아서도 바쁜일이있어도 장도 볼수있다는점이 매우 높응전수를 줍니다 . 다만 너무 먼거리 마트를 배달시켯을때 팔지 않아야할물건까지 판매를 하다보니 만약 제가 아이스크림을 시켯어요 근데 그게 제대로 배송이안되고 물이 되어버려왔어요 그런경우 다시 또 환불을해야되고 저는결국 그물건을 사러 나가야한다 매우 불편한상황입니다. 차라리 배달물건에 그 물건이 포함이 안됬으면 좋겟어요,FEMALE,40대,수도권,구독,[BMART],1.60318E+11,FEMALE40대,
225,2025-10-16 17:09:57,2025-10-16 17:10:34,36,TRUE,2025-10-16 17:10:35,R_4oGgHzaqBpPihlu,7 ,급할때 빠르게 수령 가능,FEMALE,40대,수도권,구독,"[BMART, Store]",1.80419E+11,FEMALE40대,
231,2025-10-16 17:09:55,2025-10-16 17:10:43,47,TRUE,2025-10-16 17:10:43,R_4Km9oP6jE6vATwJ,8 ,장보기가 편리하고 좋은데  원하는 상품이 없을때도있습니다.,FEMALE,40대,수도권,구독,[BMART],1.90413E+11,FEMALE40대,
240,2025-10-16 17:10:38,2025-10-16 17:11:07,28,TRUE,2025-10-16 17:11:08,R_4rCxTC8YWXG19QD,8 ,할인도 많이되고 편리합니다!,FEMALE,40대,수도권,구독,[Store],2.20902E+11,FEMALE40대,
248,2025-10-16 17:11:02,2025-10-16 17:11:21,19,TRUE,2025-10-16 17:11:22,R_4dYvIVbnvy5pNOX,10 ,빠르고 간편하다,FEMALE,40대,수도권,구독,[BMART],1.90215E+11,FEMALE40대,
249,2025-10-16 17:10:48,2025-10-16 17:11:25,37,TRUE,2025-10-16 17:11:26,R_42f2MQsFSQvoOQM,10 ,배달이 빨라요,FEMALE,40대,수도권,구독,[Store],2.00501E+11,FEMALE40대,
250,2025-10-16 17:09:56,2025-10-16 17:11:28,91,TRUE,2025-10-16 17:11:30,R_4TGBy2R9VZCW2EG,8 ,편하고 배달아저씨가 타 배달이랑 달리 정확한 위치에 친절하게 놔주심. 2만 원대 금액도 쿠폰으로 무배가 돼서 좋음,FEMALE,40대,수도권,구독,"[BMART, Store]",2.01127E+11,FEMALE40대,
260,2025-10-16 17:08:56,2025-10-16 17:11:44,167,TRUE,2025-10-16 17:11:45,R_92Q0Rji6BXHbJAo,9 ,"가격비교가 가능해서 더 좋은 물건을 더 저렴한 가격에 빠른 시간 내에 받아볼 수 있어서 너무 좋아요.
날씨가 좋지 않은 날에도 장보기 편하고, 급히 필요한 물건도 빨리 배송 받을 수 있다는 장점이 있어요.",FEMALE,40대,수도권,구독,"[BMART, Store]",1.90425E+11,FEMALE40대,
263,2025-10-16 17:10:49,2025-10-16 17:11:54,64,TRUE,2025-10-16 17:11:55,R_4cZgO7ym8lXSlmD,7 ,"급할때 구매시 금방 배달해주시고
품목이 다양하고 할인쿠폰 자주 주셔서 좋아요",FEMALE,40대,수도권,구독,"[BMART, Store]",2.00915E+11,FEMALE40대,
278,2025-10-16 17:11:54,2025-10-16 17:12:25,30,TRUE,2025-10-16 17:12:26,R_4BPWVjtC45KyP7m,10 ,빠르고 편해요,FEMALE,40대,수도권,구독,[BMART],2.10922E+11,FEMALE40대,
281,2025-10-16 17:11:41,2025-10-16 17:12:28,46,TRUE,2025-10-16 17:12:29,R_4WRXcSBSfLQI0fL,9 ,빠르게 원하는 제품을 받을 수 있어서 좋습니다,FEMALE,40대,수도권,구독,[BMART],1.80417E+11,FEMALE40대,
283,2025-10-16 17:11:22,2025-10-16 17:12:35,73,TRUE,2025-10-16 17:12:36,R_9DcfbDLoEt60RTE,6 ,상품 배열이 눈에 잘 들어오지 않음,FEMALE,40대,수도권,구독,[Store],1.51121E+11,FEMALE40대,
288,2025-10-16 17:12:08,2025-10-16 17:12:43,34,TRUE,2025-10-16 17:12:46,R_4cUbi50i0cMbT2h,3 ,가격이 비싸요,FEMALE,40대,수도권,미구독,[BMART],1.90628E+11,FEMALE40대,
289,2025-10-16 17:10:40,2025-10-16 17:12:46,125,TRUE,2025-10-16 17:12:47,R_4rOLvBy41X9Efby,5 ,과일이나 채소들은 품질이 떨어지는 경우가 많아 완전식품 위주로 추천하며 쿠팡에서 싸게 살수 있어서 바로 배달하는거 이외에는 크게 좋은 점을 모르겠습니다. 가격도 저렴하다고 보기에는 어렵습니다 ,FEMALE,40대,수도권,구독,[BMART],1.80221E+11,FEMALE40대,
293,2025-10-16 17:12:19,2025-10-16 17:12:49,30,TRUE,2025-10-16 17:12:50,R_4uCXmaFobwVmbWd,10 ,간편하고 좋은식재료를 빠르게받아볼수 있음,FEMALE,40대,수도권,미구독,[BMART],2.10505E+11,FEMALE40대,
301,2025-10-16 17:11:50,2025-10-16 17:13:04,74,TRUE,2025-10-16 17:13:06,R_9OsPdSb63Plysz7,5 ,종류도  너무  없어서 정말 급할때   말곤  잘  이용  하지 않게 되요~~,FEMALE,40대,수도권,미구독,[BMART],1.81116E+11,FEMALE40대,
312,2025-10-16 17:12:33,2025-10-16 17:13:20,47,TRUE,2025-10-16 17:13:21,R_4ZqjTD9bfTS3bnH,8 ,세일도 좋고 쿠폰할인도 좋고 빨리 배송되더라구요,FEMALE,40대,수도권,구독,[Store],1.90917E+11,FEMALE40대,
313,2025-10-16 17:12:47,2025-10-16 17:13:20,32,TRUE,2025-10-16 17:13:21,R_4eav91HMv3REvmN,7 ,당일 바로 배송 가능한 점이 편리함. 배송비는 아까워서 완전히 만족하지는 않음,FEMALE,40대,수도권,구독,[BMART],2.00413E+11,FEMALE40대,
327,2025-10-16 17:13:27,2025-10-16 17:13:55,28,TRUE,2025-10-16 17:13:56,R_4fjXKhnpVEm2R1K,8 ,신속.할인,FEMALE,40대,수도권,구독,"[BMART, Store]",2.10726E+11,FEMALE40대,
339,2025-10-16 17:11:02,2025-10-16 17:14:18,195,TRUE,2025-10-16 17:14:20,R_4iet9c0r0qqFlQn,10 ,"직접 장보러 가지 않아도 되는 편리성
품질이 바탕이 되니, 믿고 장바구니에 넣음
물건 고르는 시간 단축, 마트 오가는 시간 없음.
내가 원하는 시간에 배달 가능되는 것이 가장 큰 이점
쿠폰 혜택도 있고, 배달 현황까지 바로 확인 가능",FEMALE,40대,수도권,구독,[BMART],1.91107E+11,FEMALE40대,
343,2025-10-16 17:13:46,2025-10-16 17:14:22,35,TRUE,2025-10-16 17:14:24,R_4plh2doePhh66tl,10 ,"빠른배송
쿠폰사용으로인한 비용절감",FEMALE,40대,수도권,구독,[Store],1.8012E+11,FEMALE40대,
345,2025-10-16 17:14:05,2025-10-16 17:14:26,20,TRUE,2025-10-16 17:14:27,R_4n8uiqpboWuSNEh,10 ,세일할때 사면 쿠팡보다 저아요,FEMALE,40대,수도권,미구독,[BMART],2.01405E+11,FEMALE40대,
347,2025-10-16 17:13:47,2025-10-16 17:14:36,49,TRUE,2025-10-16 17:14:37,R_4OHMAoL0BJJG4St,8 ,배달이 빠르고 무거운 물건이나 배달이나 가격비교가 용이함,FEMALE,40대,수도권,구독,[BMART],1.80112E+11,FEMALE40대,
348,2025-10-16 17:13:03,2025-10-16 17:14:41,98,TRUE,2025-10-16 17:14:42,R_4LG4azilZ2FFe7X,8 ,이유는 단순합니다. 편하게 이용할수 있어서요.,FEMALE,40대,수도권,구독,[Store],2.00922E+11,FEMALE40대,
349,2025-10-16 17:11:20,2025-10-16 17:14:43,202,TRUE,2025-10-16 17:14:45,R_4OfdIZCjJge7eSV,10 ,"수도권에서는 저녁 늦게라도 급히 필요한게 있다면 바로바로 비마트 이용이 가능해서 익숙해져있었는데 지방에 가니 안되어서 너무 답답하더라고요.
광역시에는 비마트 이용 가능하면 좋겠어요 ",FEMALE,40대,수도권,구독,[BMART],1.7073E+11,FEMALE40대,
352,2025-10-16 17:14:18,2025-10-16 17:14:49,31,TRUE,2025-10-16 17:14:50,R_9TQTJW82eOsvyb6,10 ,급할때 너무 편해요. 다른 배송보다 비마트!!,FEMALE,40대,수도권,구독,[BMART],2.20415E+11,FEMALE40대,
353,2025-10-16 17:13:48,2025-10-16 17:14:52,64,TRUE,2025-10-16 17:14:54,R_4IKqmno55rV9Pdh,8 ,배달이 빨라좋지만 공산품 가격이 다른곳에 비해비싼것들이 많아 세일하지않으면 너무비쌈,FEMALE,40대,수도권,구독,[BMART],1.71209E+11,FEMALE40대,
354,2025-10-16 17:14:06,2025-10-16 17:14:54,48,TRUE,2025-10-16 17:14:56,R_4nuRVWKT9b27Yj2,10 ,배달빠르고 급하게 필요한물품 구매가 좋았어요,FEMALE,40대,수도권,구독,[BMART],1.8061E+11,FEMALE40대,
